screen_name,tweet,polarity,subjectivity,retweet_count,retweet_at,in_reply_to_screen_name,tweet_len,tweet_is_Retweet
BeataGWinter,".@AtlanticCouncil vice president @DamonMacWilson on stage at #NATOEngages 

This was meant to be a celebration, #NATO70. 

Instead it's #Syria, #Brexit and angst for Trump 's @Twitter at #NATOLondon.

#NATOEngages is about a different sound. About the future. How @NATO adapts! https://t.co/bqij3E6Pra",0.13333333333333333,0.375,0, @AtlForum,,301,True
DavidHuddo,"""Prepared and Resilience""

Abacus has no idea what she is talking about, and she never read the report, she's never read any report... ever!

Terrifying... bu comedy gold.

#GE2019 #Brexit🇬🇧  
https://t.co/GekJUuVi3l",-1.0,1.0,0, @DarrenPlymouth,,216,True
WedgemanAuba,"Who is this Ole guy, is he the Prime Minister? #OleOut #Brexit  #Government",0.0,0.0,0,,,75,False
groovy0071,"Kay: How important is US trade deal?

Fox: Well the US is about 19% of our exports

Kay: But EU is about 40%?

Fox: Its 44%

#GE2019 #Brexit https://t.co/YXGzMTTY9X",0.4,1.0,0, @Doozy_45,,164,True
fioan1,Welcome to the Tory #Brexit advent calendar:,0.8,0.9,0,,,44,False
Walesrocs,Really scary that she maybe the country’s next Home Secretary.Even more scary is the area of London she represents voted her in with a huge majority.Should we build a wall around London? It’s no longer representative of most of UK. Wish they would just rename Labour the Commies. https://t.co/0VOHEPTaEv,0.06666666666666668,0.65,0, @highfivedave,,303,True
dbrman,"It's here! Our new report on what the various manifestos have to say about Brexit #GeneralElection2019, #GeneralElection, #Election2019, #Brexit, #ConservativeManifesto, #LabourManifesto, #LibDems, #SNP, #PlaidCymru, #Greens, #BrexitParty 1/25 https://t.co/gLg4aUKaQW",0.06818181818181818,0.4772727272727273,0, @anandMenon1,,267,True
MAEgofrance,"It's weird that most of the people who support #Brexit seem to think Donald Trump is a good guy. But, I guess if your judgement is poor, it's understandable. Donald Trump is not a good guy. He's a very bad guy. And #BorisJohnson is no better!",-0.18178571428571427,0.6666666666666667,0, @derekjames150,,242,True
bpforgovt,"https://t.co/owdQyb7z1s

We don't want the #nhs @jeremycorbyn  is lying and using it to progress his #leftwing agenda. #trump is also a strong believer in #brexit. With brexit we get the deals. Without brexit we don't!!",0.6770833333333333,0.7333333333333333,0,,,219,False
EqualGlasgow,"Ahead of the #GeneralElection2019 we've highlighted 7 things that all parties should be taking action on to uphold women's equality &amp; rights, regardless of what happens with #Brexit. 

Read more about why these issues are so vital here: 
https://t.co/F0Npy7sus0 
#GE2019 https://t.co/XrQTZIsYlB",0.2333333333333333,0.3333333333333333,0, @EngenderScot,,298,True
JillAshleyJone1,"Forget tribalism, forget party loyalties... Just think of the millions of #children below the poverty line and kick these bastards out. They had nine years to do something about it and now they want #Brexit... #ToriesOut #TacticalVote #GeneralElection2019 #TuesdayMotivation",0.0,0.0,0, @RestoreHope_20,,274,True
mummygirl,Looks to me like  putting two fingers up to @conservatives and #Brexit are actually the top priorities here. #GeneralElection2019 https://t.co/OejCJl4r64,0.25,0.3,0, @SuzanneEvans1,,153,True
barbadosj58,@C4CrimAppeals IPCC And CCRC Should Be Abolished For Helping Police And Judiciary Cover-Up Their Corruption Malfeasance And Misfeasance And For Protecting Their Own #panorama @ccrcupdate @libertyhq @7NewsMelbourne @RT_com @SkyNewsPolitics @PressTV #Brexit #GE2019 https://t.co/7tlaAiTq52,0.6,1.0,0,,C4CrimAppeals,287,False
skhowden,"Q: Would The NHS Be Under Threat From The US Under The Conservative Party?

#GeneralElection2019 #Brexit #NHS",0.0,0.0,0, @Doozy_45,,109,True
garrylayden,"""You say 'Get Brexit Done' etc.. like its a tooth pulling exercise. What's actually good about Brexit?""

#GE2019 #Brexit

@adamboultonSKY https://t.co/V6FnIJeqIe",0.7,0.6000000000000001,0, @Doozy_45,,161,True
